Respondent ID,Collector ID,Start Date,End Date,IP Address,Custom Data 1,custom_value7,custom_value8,custom_value9,Do you contribute to hiring and firing decisions at your company?,How likely is it that you would recommend alternative education to a friend or colleague?,How likely is it that you would recommend a traditional bachelor's degree to a friend or colleague?,"For many professions, alternative credentials can qualify a person for an entry-level position.",Which of these industries most closely matches your profession?,Gender?,Household Income?,Age?,What is the highest level of education you have completed?,Which race/ethnicity best describes you? (Please choose only one.) ,Which of the following statements are true for you?,,,,,,,How many of the three articles contained information you were previously unaware of?,I completed this portion of the Codecademy Intro to HTML lesson,How likely is it that you would recommend alternative education to a friend or colleague?,How likely is it that you would recommend a traditional bachelor's degree to a friend or colleague?,"In 2 or more sentences, please explain your selection on ""How likely is it that you would recommend alternative education to a friend or colleague?"" Include why your score did or did not change after completing the exercises.","For many professions, alternative credentials can qualify a person for an entry-level position.",Age,Gender,Household Income,Region,Device Type
11132739976,249561822,11/10/2019 18:45,11/10/2019 18:47,,d26c8e68e1100f6de3b516daee,,,,2,10,,1,5,1,3,3,6,5,1,,,,,,7,0,1,10,,,1,3,2,2,5,1
11132735720,249561822,11/10/2019 18:38,11/10/2019 18:43,,f3c30bad3db6756334b7dd8054,,,,2,6,,6,11,1,3,3,6,5,,,3,4,5,6,,2,2,6,,,5,3,2,3,2,2
11132734897,249561822,11/10/2019 18:42,11/10/2019 18:43,,eb17b887baabfd1938e71d1f84,,,,1,10,,10,12,1,5,4,5,5,,,3,,,,,51,3,9,,,10,3,2,6,5,1
11132731555,249561822,11/10/2019 18:37,11/10/2019 18:39,,953520cdb9df7a9c1cc03edcc6,,,,1,5,,6,1,2,4,3,6,5,,,3,,,,,38,3,5,,,6,2,1,1,8,1
11132731332,249561822,11/10/2019 18:37,11/10/2019 18:39,,c3d2992b5c424b9e3704986f43,,,,1,5,,5,2,2,7,3,5,5,,,3,,,,,0,1,5,,,5,3,1,6,5,1
11132730815,249561822,11/10/2019 18:37,11/10/2019 18:39,,826e1c797e100fb3459abda2a5,,,,2,10,,8,10,1,3,2,7,5,,2,,,,,,2,1,10,,,8,2,2,3,1,2
11132728281,249561822,11/10/2019 18:30,11/10/2019 18:36,,d40b377d94dbcab657a959d3c0,,,,2,8,,10,5,2,6,2,5,5,1,,,,,,,100,1,5,,,6,2,1,4,9,2
11132725143,249561822,11/10/2019 18:32,11/10/2019 18:33,,7e2f5d6815d9777220766f6016,,,,2,10,,10,10,1,1,3,4,5,,,3,4,,,,1,2,10,,,10,3,2,2,3,1
11132723767,249561822,11/10/2019 18:30,11/10/2019 18:32,,5993ade907bdc0cc0337138698,,,,2,5,,10,5,1,8,2,7,5,1,,,,,,,49,4,7,,,10,2,2,5,2,1
11132723677,249561822,11/10/2019 18:31,11/10/2019 18:32,,229cbefd6473beed9201809643,,,,1,10,,5,4,1,3,2,4,4,1,,,,,,,100,3,10,,,6,2,2,3,3,1
11132723192,249561822,11/10/2019 18:30,11/10/2019 18:31,,acdd5d6cf521359aad4a8aa1d1,,,,3,7,,6,2,1,1,2,4,5,1,,,,,,,3,2,6,,,3,2,2,1,2,1
11132722470,249561822,11/10/2019 18:28,11/10/2019 18:31,,50aa0d08bc73539e10de6b8ea0,,,,1,7,,8,4,2,10,2,3,5,1,,,,,,,2,4,7,,,8,2,1,9,9,1
11132718653,249561822,11/10/2019 18:25,11/10/2019 18:27,,c958c7968a68881adefc91fae6,,,,1,6,,7,4,2,8,3,5,5,1,,,,,,,3,1,6,,,5,3,1,7,2,1
11132718317,249561822,11/10/2019 18:25,11/10/2019 18:27,,b859d96c44e7317575e8e71c76,,,,2,8,,7,2,2,5,2,5,5,1,,,,,,,62,1,6,,,7,2,1,3,8,2
11132713333,249561822,11/10/2019 18:22,11/10/2019 18:22,,5eef037782e96ac21b66a6d1bd,,,,2,8,,3,4,1,1,2,3,4,1,,,,,,7,76,2,9,,,4,2,2,1,7,1
11132713322,249561822,11/10/2019 18:20,11/10/2019 18:22,,4bdbfc2410442372e670a0711b,,,,3,5,,3,10,2,1,2,3,5,,2,,,,,,0,2,5,,,3,2,1,1,6,2
11132712717,249561822,11/10/2019 18:20,11/10/2019 18:22,,91950e4a3b201faa4782c5ddc9,,,,2,9,,9,6,2,5,3,7,2,,,3,,,,,70,1,9,,,9,3,1,5,1,1
11132711818,249561822,11/10/2019 18:20,11/10/2019 18:21,,60eeae8fc192276cdff4cfd8c9,,,,1,6,,10,2,2,2,2,3,3,1,,,,,,,27,1,5,,,5,2,1,1,7,1
11132709160,249561822,11/10/2019 18:17,11/10/2019 18:18,,dda056d1a75ce1cbf1c6ab5e26,,,,2,7,,8,6,2,6,3,3,5,,,3,,,,,0,3,8,,,7,3,1,6,2,1
11132707831,249561822,11/10/2019 18:16,11/10/2019 18:17,,61bb20d029d7bb9f9b5213f035,,,,1,7,,10,4,1,3,3,5,4,1,,,,,,,0,1,7,,,10,3,2,4,9,2
11132707633,249561822,11/10/2019 18:15,11/10/2019 18:17,,841435fe503b0230dd26b51adc,,,,2,10,,10,2,1,4,3,5,4,,,3,,,,,0,1,10,,,10,3,2,4,7,1
11132704744,249561822,11/10/2019 18:12,11/10/2019 18:14,,9d960227cd0fe45df668f3efa1,,,,1,10,,10,2,3,5,2,5,5,,2,,,,,,24,3,10,,,10,2,2,9,5,1
11132704115,249561822,11/10/2019 18:10,11/10/2019 18:14,,655e81c7a48af20a0ac0a51e48,,,,2,5,,6,12,1,2,3,3,5,,2,,,,,,30,1,5,,,6,3,2,2,3,2
11132699233,249561822,11/10/2019 18:05,11/10/2019 18:09,,e255a7f00e05735acfc9486308,,,,2,7,,3,6,2,6,3,3,2,,2,,,,,,43,1,8,,,5,3,1,6,5,1
11132698448,249561822,11/10/2019 18:08,11/10/2019 18:09,,380f79ad4206932d45efe93071,,,,2,8,,8,3,2,3,2,4,2,1,,,,,,,25,2,8,,,7,2,1,3,3,1
11132697305,249561822,11/10/2019 18:02,11/10/2019 18:06,,d6f813e28fca2a9eb345292ab6,,,,2,9,,7,10,1,5,3,4,5,1,,,,,,,100,1,8,,,7,3,2,5,3,2
11132696163,249561822,11/10/2019 18:04,11/10/2019 18:06,,0250aa68078da8fea9220bfba1,,,,2,10,,10,5,1,5,3,7,3,,2,,,,,,87,3,10,,,10,3,2,5,3,2
11132693858,249561822,11/10/2019 18:03,11/10/2019 18:04,,da0f8f73fec693fde998a78433,,,,2,7,,6,2,1,1,2,4,2,1,,,,,,,48,1,7,,,6,2,2,1,5,1
11132693634,249561822,11/10/2019 18:03,11/10/2019 18:04,,d92c998eed0fd3b1b12fcb7fd8,,,,1,10,,10,2,1,4,2,4,5,1,,,,,,,100,3,10,,,10,2,2,4,3,1
11132693368,249561822,11/10/2019 18:00,11/10/2019 18:04,,adb263f94a916b15ef9fa353a1,,,,2,8,,8,11,2,6,2,4,5,1,,,,,,,100,2,7,,,7,2,1,3,5,1
11132692180,249561822,11/10/2019 17:58,11/10/2019 18:03,,f161bb3468bef144829316c575,,,,2,10,,6,5,2,4,3,3,5,1,,,,,,,100,4,10,,,10,3,1,4,2,1
11132688070,249561822,11/10/2019 17:57,11/10/2019 17:59,,ae4889adc370ba186761aaaa68,,,,2,9,,7,10,2,4,2,5,5,1,,,,,,,0,1,8,,,7,2,1,4,3,2
11132685354,249561822,11/10/2019 17:55,11/10/2019 17:56,,351ddae29435c8ee3fb2672bcc,,,,2,6,,7,5,2,3,2,4,5,1,,,,,,,69,1,6,,,7,2,1,3,7,2
11132684511,249561822,11/10/2019 17:46,11/10/2019 17:55,,6e7a49dbb7028dbc306ce8c9e6,,,,1,3,,5,6,2,3,3,5,5,1,,,,,,,3,2,4,,,6,3,1,4,9,2
11132684164,249561822,11/10/2019 17:53,11/10/2019 17:55,,77754ccc687f54556093d88f86,,,,3,10,,4,11,2,1,3,3,5,1,,,,,,,30,3,10,,,3,3,1,11,5,2
11132677771,249561822,11/10/2019 17:47,11/10/2019 17:49,,5b1f3f50b5b1263d18888d6146,,,,1,6,,7,8,1,5,2,5,5,1,,,,,,,2,3,7,,,8,2,2,5,3,2
11132676866,249561822,11/10/2019 17:45,11/10/2019 17:48,,0fb0d6dd094a2ab60556bab300,,,,2,4,,7,10,1,3,2,4,5,1,,,,,,7,0,1,3,,,7,2,2,2,4,2
11132675982,249561822,11/10/2019 17:46,11/10/2019 17:47,,d0be5acc9a5427fcb41986832f,,,,2,7,,8,11,1,3,3,5,5,1,,,,,,,99,1,7,,,8,3,2,3,3,1
11132675551,249561822,11/10/2019 17:45,11/10/2019 17:47,,6e6eff0c3cf112eea5a0e42a23,,,,1,1,,1,10,2,5,3,5,4,,,3,,5,,,0,1,0,,,1,3,1,4,1,1
11132674973,249561822,11/10/2019 17:44,11/10/2019 17:47,,f0f764044830e4f098c56c24dc,,,,2,6,,10,11,1,8,2,5,5,1,,,,,,,100,1,6,,,10,2,2,10,5,2
11132674819,249561822,11/10/2019 17:43,11/10/2019 17:46,,07bfb0e6b62a2329a8014f261f,,,,2,8,,5,10,1,1,2,6,5,1,,,,,,7,4,1,7,,,5,2,2,1,3,1
11132674805,249561822,11/10/2019 17:45,11/10/2019 17:46,,33202a595cc5f63c46b8eda419,,,,1,10,,8,6,2,3,2,5,2,1,,,,,,,100,2,5,,,8,2,1,1,2,2
11132672341,249561822,11/10/2019 17:44,11/10/2019 17:45,,370a7e0083cf042bcade63b4ce,,,,2,7,,7,10,2,2,2,3,4,1,,,,,,,2,2,7,,,7,2,1,2,9,1
11132668186,249561822,11/10/2019 17:35,11/10/2019 17:41,,a48f792f3c72e37e90bd04a3b6,,,,1,3,,4,2,1,6,3,7,5,1,,,,,,,66,1,5,,,6,3,2,6,3,1
11132664922,249561822,11/10/2019 17:33,11/10/2019 17:38,,8ce613ba1e54cb6db731d98391,,,,2,5,,6,2,1,3,3,5,5,1,,,,,,,0,1,5,,,6,3,2,2,9,2
11132662033,249561822,11/10/2019 17:34,11/10/2019 17:35,,a44c8c0f4d31df1353a03c035d,,,,1,6,,9,8,2,6,3,5,5,,2,,,5,,,,,,,,,,,,,
11132661359,249561822,11/10/2019 17:31,11/10/2019 17:34,,c03b14301cf891edef0ea2b658,,,,3,8,,8,10,2,1,2,4,2,1,,,,,,7,3,2,9,,,9,2,1,1,8,2
11132661031,249561822,11/10/2019 17:31,11/10/2019 17:34,,2fa45f0999cc29dad79447ec76,,,,1,7,,9,5,2,3,2,6,2,1,,,,,,,16,1,8,,,8,2,1,3,9,1
11132659451,249561822,11/10/2019 17:30,11/10/2019 17:32,,30ce19e34a4de4f9bf2bdf09e8,,,,1,2,,4,10,1,8,2,7,5,1,,,,,,,100,1,3,,,6,2,2,8,8,1
11132659073,249561822,11/10/2019 17:31,11/10/2019 17:32,,b1ba089cf5e976913a2a09f1d5,,,,3,7,,7,10,2,4,3,5,5,,,3,,,,,0,1,1,,,3,3,1,4,1,1
11132658142,249561822,11/10/2019 17:30,11/10/2019 17:31,,e0ebd1a8829255c08dfda1efef,,,,1,10,,10,8,1,6,3,4,3,,,,4,,,,100,3,10,,,10,3,2,10,7,1
11132650480,249561822,11/10/2019 17:20,11/10/2019 17:23,,124d163eec471a2d18be10e9c2,,,,2,7,,1,8,2,4,3,4,5,,,3,,,,,50,1,7,,,1,3,1,4,9,1
11132649225,249561822,11/10/2019 17:20,11/10/2019 17:22,,ccc16e20a3d65b5d60bca3bb35,,,,1,9,,8,5,2,5,2,5,3,1,,,,,,,54,3,8,,,8,2,1,7,3,1
11132647075,249561822,11/10/2019 17:15,11/10/2019 17:20,,45fa996f133ea8d0bb920213f4,,,,1,7,,10,6,2,5,3,4,5,1,,,,,,,54,2,7,,,7,3,1,5,5,1
11132645735,249561822,11/10/2019 17:17,11/10/2019 17:18,,4bbac2d56a555ab7b63cb04e4b,,,,3,7,,8,10,2,3,2,4,4,1,,,,,,7,10,2,8,,,7,2,1,3,2,1
11132645663,249561822,11/10/2019 17:15,11/10/2019 17:18,,cc974c2b5042e21cda346b36b9,,,,1,6,,8,10,1,2,3,4,5,,2,3,,,,,2,1,6,,,10,3,2,2,5,2
11132645492,249561822,11/10/2019 17:16,11/10/2019 17:18,,6ad9b08c1b68526dda3c23fb96,,,,1,6,,8,4,2,3,2,4,5,1,,,,,,,3,2,7,,,8,2,1,4,5,2
11132633529,249561822,11/10/2019 17:05,11/10/2019 17:07,,931203a50f210e8449aa67b520,,,,1,5,,7,11,1,3,2,3,5,1,,,,,,,80,2,7,,,8,2,2,6,6,1
11132630836,249561822,11/10/2019 17:03,11/10/2019 17:04,,10334119f1fbe3a86234e5541c,,,,2,5,,10,7,2,4,2,2,5,1,,,,,,,0,1,4,,,6,2,1,3,4,1
11132628371,249561822,11/10/2019 17:00,11/10/2019 17:02,,26fb526dda44add092a6faa26d,,,,2,9,,6,2,1,2,2,4,4,,2,,,,,,2,1,9,,,7,2,2,1,9,1
11132623184,249561822,11/10/2019 16:54,11/10/2019 16:56,,8dd5131441450a0ceebaae2228,,,,2,10,,10,11,2,1,2,4,4,1,,,,,,7,2,2,10,,,10,2,1,2,9,1
11132622986,249561822,11/10/2019 16:54,11/10/2019 16:56,,3c3bf49003d2e0e04cf22ae5d7,,,,1,10,,9,2,1,1,2,4,5,1,,,,,,7,3,2,10,,,9,2,2,1,3,1
11132622600,249561822,11/10/2019 16:54,11/10/2019 16:56,,975d4bdaf66f463b1f2d7343cf,,,,1,5,,5,5,2,4,2,4,3,1,,,,,,,9,1,5,,,3,2,1,5,5,1
11132622578,249561822,11/10/2019 16:55,11/10/2019 16:56,,c4e19fab38dc81ba2f26382d3d,,,,1,5,,4,4,1,3,3,2,4,,,3,,,,,60,2,5,,,5,3,2,4,9,1
11132618952,249561822,11/10/2019 16:51,11/10/2019 16:52,,119228545c4a66f6c5bf930c72,,,,1,5,,10,11,2,8,2,3,5,1,,,,,,,56,2,5,,,10,2,1,4,5,1
11132616149,249561822,11/10/2019 16:49,11/10/2019 16:49,,63326c988048fef229c077235f,,,,2,5,,4,2,2,5,3,6,4,,,,4,,,,44,3,6,,,8,2,1,11,9,1
11132615516,249561822,11/10/2019 16:45,11/10/2019 16:49,,9ff43b175b119bb99fe7370eff,,,,2,6,,5,10,1,1,2,5,3,1,,,,,,,1,3,6,,,7,2,2,2,3,1
11132613606,249561822,11/10/2019 16:45,11/10/2019 16:47,,64305b532e26eba7cf4bc63a51,,,,2,5,,5,10,1,3,2,3,5,,,,,,,7,37,1,6,,,7,2,2,1,7,1
11132610877,249561822,11/10/2019 16:41,11/10/2019 16:44,,f090d102457551ab061c36c34f,,,,2,7,,7,11,2,3,3,3,5,,,3,,,,,44,1,7,,,3,3,1,3,3,2
11132610589,249561822,11/10/2019 16:41,11/10/2019 16:44,,a3db79f5cb39083207c0c9d75d,,,,2,8,,6,10,1,2,2,3,5,1,,,,,,,,,,,,,,,,,
11132609953,249561822,11/10/2019 16:42,11/10/2019 16:43,,be0f63c830c1014463a6c2f683,,,,2,7,,4,5,1,1,2,4,2,1,,,,,,,63,1,8,,,5,2,2,1,2,1
11132609332,249561822,11/10/2019 16:41,11/10/2019 16:43,,5edf8354c85fa66d3b47d94f5f,,,,2,0,,2,4,1,4,2,8,5,1,,,,,,,3,1,0,,,2,2,2,11,5,1
11132608278,249561822,11/10/2019 16:41,11/10/2019 16:42,,6dc191c9a78cc1251b8ea0f2ee,,,,1,2,,2,6,2,1,2,3,1,1,,,,,,,16,1,2,,,2,2,2,2,2,2
